city,region,lon,lat,first_pb_year,pooled_share_pct_2018_2021,n_share_observations,stability_cv_2018_2021,n_stability_observations,stability_basis_code,stability_eligible
Івано-Франківськ,Івано-Франківська область,24.71100,48.92200,2016,0.50227644,1,,,,0
Бердянськ,Запорізька область,36.79900,46.75600,2016,0.13579859,2,,,,0
Бровари,Київська область,30.79000,50.51100,2017,0.20601064,2,,,,0
Біла Церква,Київська область,30.11700,49.79600,2017,0.45065021,4,0.25028575,4,annual_envelope,1
Вінниця,Вінницька область,28.46800,49.23300,2016,0.16690397,4,0.14998472,4,annual_envelope,1
Дніпро,Дніпропетровська область,35.04600,48.46400,2017,0.26072443,4,,,,0
Житомир,Житомирська область,28.65800,50.25400,2016,0.46492019,1,,,,0
Запоріжжя,Запорізька область,35.13900,47.83800,2016,0.11212623,4,0.06813425,4,annual_envelope,1
Кам’янське,Дніпропетровська область,34.60200,48.51100,2018,0.10385799,4,0.29689259,4,annual_envelope,1
Київ,м. Київ,30.52300,50.45000,2016,0.26258737,4,0.02278706,4,annual_envelope,1
Краматорськ,Донецька область,37.58400,48.73900,2016,0.10782151,3,,,,0
Кременчук,Полтавська область,33.42000,49.06800,2017,0.35736036,4,0.50508227,4,sum_winner_project_budgets,1
Кривий Ріг,Дніпропетровська область,33.39200,47.91000,2016,0.32323671,4,,,,0
Кропивницький,Кіровоградська область,32.26200,48.50700,2017,0.21545697,4,0.26659730,4,sum_winner_project_budgets,1
Луцьк,Волинська область,25.32500,50.74700,2015,0.11975185,4,0.20188657,4,annual_envelope,1
Львів,Львівська область,24.03100,49.84200,2016,0.48763839,4,0.21270796,4,sum_winner_project_budgets,1
Маріуполь,Донецька область,37.54300,47.09700,2018,,0,,,,0
Мелітополь,Запорізька область,35.36500,46.84800,2016,0.19863507,2,,,,0
Миколаїв,Миколаївська область,31.99500,46.97500,2017,0.32413537,4,0.25776470,4,sum_winner_project_budgets,1
Нікополь,Дніпропетровська область,34.39600,47.56700,2017,0.17850629,3,0.28510335,3,annual_envelope,1
Одеса,Одеська область,30.72300,46.48200,2017,0.52446928,4,,,,0
Павлоград,Дніпропетровська область,35.87000,48.52000,2020,0.24881171,1,,,,0
Полтава,Полтавська область,34.55100,49.58900,2016,0.34334590,4,0.21707216,4,annual_envelope,1
Рівне,Рівненська область,26.25100,50.62000,2016,0.35143960,4,0.14862376,4,sum_winner_project_budgets,1
Слов’янськ,Донецька область,37.59800,48.85400,2018,0.11209384,4,0.75623150,4,annual_envelope,1
Суми,Сумська область,34.79800,50.90700,2016,0.41330968,1,,,,0
Сєвєродонецьк,Луганська область,38.49200,48.94800,2017,0.37933618,3,,,,0
Тернопіль,Тернопільська область,25.59400,49.55300,2016,0.47207379,4,,,,0
Ужгород,Закарпатська область,22.28800,48.62100,2016,0.31963114,4,0.08533250,4,annual_envelope,1
Харків,Харківська область,36.23100,49.99400,2018,0.31909245,3,0.05759688,3,annual_envelope,1
Херсон,Херсонська область,32.61700,46.63500,2019,0.32215612,3,0.14756825,3,sum_winner_project_budgets,1
Хмельницький,Хмельницька область,26.98700,49.42300,2016,0.08147112,4,,,,0
Черкаси,Черкаська область,32.06000,49.44400,2015,0.82433743,2,,,,0
Чернівці,Чернівецька область,25.93500,48.29200,2016,0.46715211,4,,,,0
Чернігів,Чернігівська область,31.29400,51.49400,2015,0.54319869,4,0.27353917,4,sum_winner_project_budgets,1
